Location,Text
Chicago ,"What happens when criminals like @realDonaldTrump is in charge of policy. 

#GOPVotingBlue 

#GOPBetrayedAmerica 

#coronavirus  #impeachbarr #Resistance #VoteBlue2020 
#Resist #DoctorsSpeakUp #VoteBlueNoMatterWho https://t.co/6AY2AP89qK"
,ICAN (Del Bigtree) won against CDC...CDC needs to take down their statement that Vaccines Do Not Cause Autism. #DoctorsSpeakUp ⁦@NYGovCuomo⁩ ⁦@realDonaldTrump⁩ ⁦@DickGottfried⁩ ⁦@CarlHeastie1⁩ https://t.co/gISdna8tWE
New York,"@eileeniorio The only thing is more and more Pro-vaxxer Drs and Nurses are jumping to the Anti-vaxxer side and just about ZERO (unpaid) are jumping from the Anti-vaxxer to the Provaxxer side! Wonder why? 🤔
#DoctorsSpeakUp #NursesSpeakUp"
Chicago ,"Why we should be worried the @GOP is in charge. Incompetence. Ignorance. 
Derelict in duties. 

#GOPVotingBlue 

#GOPBetrayedAmerica 

#coronavirus  #impeachbarr #Resistance #VoteBlue2020 
#Resist #DoctorsSpeakUp #VoteBlueNoMatterWho https://t.co/1HHOS2f6tO"
"Fort Worth, TX",When will all these doctors who are spewing out “safe and effective” and “the science is settled” actually show their cards and REVEAL allllll the studies that prove this? #ohwait #DoctorsSpeakUp
United States,@BusyDrT @CaMedFreedom @DrPanMD Frequent hand washing. Sanitation is important. #water #toiletpaperpanic #Soap #DoctorsSpeakUp there is not a vaccine for lack of common sense!
,We have had a corporate takeover of medicine in the United States #DoctorsSpeakUp
United States,When #fear overrides common sense there will be trouble! Those who worship at the Occult of pHARMaceutical Mysticism are being sacrificed because they have believed lies like ‘the white coat knows best’ &amp; ‘vaccines are safe &amp; effective.’ Watch The #PeoplesTruth #DoctorsSpeakUp https://t.co/jWLTl3Sg16
Calgary (Business is Global),Vaccine and immunity discussion #DoctorsSpeakUp https://t.co/SxOnRStzfx
"Influenza City, USA","adding @doctoringketo to my followback thread 
Like, retweet, tag, follow everyone
Help to spread the good word about #lowcarb nutrition 
#LCHF #WFMB #Keto #meded #medtwitter #FMrevolution #Somedocs #DoctorsSpeakUp #DoctorsSpeakOut #WomenInMedicine #WomenInSTEM https://t.co/H1TY0lGDrY"
